Tm,Total Payroll,pitcherW,pitcherL,pitcherW-L%,pitcherERA,pitcherCG,pitcherIP,pitcherH,pitcherR,pitcherER,BatR/G,BatH,BatR,Bat_BA,Bat_OBP,BatSLG,Bat_OPS
ARI,141724597,82,80,0.506,3.72,2,1463,1313,644,605,4.28,1283,693,0.235,0.31,0.397,0.707
ATL,130599395,90,72,0.556,3.75,2,1456.2,1236,657,607,4.69,1433,759,0.257,0.324,0.417,0.742
CHC,194259933,95,68,0.583,3.65,1,1476.1,1319,645,598,4.67,1453,761,0.258,0.333,0.41,0.744
CIN,100305768,67,95,0.414,4.63,1,1441,1491,819,741,4.3,1404,696,0.254,0.328,0.401,0.729
COL,143968544,91,72,0.558,4.33,0,1452.1,1377,745,699,4.79,1418,780,0.256,0.322,0.435,0.757
LAD,173784989,92,71,0.564,3.38,0,1476,1279,610,554,4.93,1394,804,0.25,0.333,0.442,0.774
MIA,91817860,63,98,0.391,4.76,1,1442,1388,809,762,3.66,1303,589,0.237,0.303,0.357,0.659
MIL,108982016,96,67,0.589,3.73,0,1461,1259,659,606,4.63,1398,754,0.252,0.323,0.424,0.747
NYM,150187987,77,85,0.475,4.07,3,1460.2,1364,707,661,4.17,1282,676,0.234,0.312,0.389,0.701
PHI,104297471,80,82,0.494,4.14,0,1445.2,1366,728,665,4.18,1270,677,0.234,0.314,0.393,0.707
PIT,91025861,82,79,0.509,4,3,1434,1380,693,637,4.3,1381,692,0.254,0.317,0.407,0.725
SDP,101343635,66,96,0.407,4.4,0,1457,1430,767,713,3.81,1289,617,0.235,0.297,0.38,0.677
SFG,205665348,73,89,0.451,3.95,1,1461.1,1387,699,641,3.72,1324,603,0.239,0.3,0.368,0.667
STL,163784311,88,74,0.543,3.85,1,1455.1,1354,691,622,4.69,1369,759,0.249,0.321,0.409,0.73
WSN,181382609,82,80,0.506,4.04,2,1446,1320,682,649,4.76,1402,771,0.254,0.335,0.419,0.753
LgAvg,138875354.9,81.6,80.53333333,0.503066667,4.026666667,1.133333333,1455.066667,1350.866667,703.6666667,650.6666667,4.372,1360.2,708.7333333,0.246533333,0.318133333,0.4032,0.721266667